plant	plot	no.vseeds	no.aborts	pattern.6	plant.height	nectar.rew	flw.sync	neigh.2m	nearest.tree.dist.cm	fruit.set
19	1	330	30	6	111.5	7.711	0.897	18	190.0	0.732
19	1	0	85	6	111.5	7.711	0.897	18	190.0	0.732
19	1	130	61	6	111.5	7.711	0.897	18	190.0	0.732
19	1	0	160	6	111.5	7.711	0.897	18	190.0	0.732
19	1	0	4	6	111.5	7.711	0.897	18	190.0	0.732
19	1	212	34	6	111.5	7.711	0.897	18	190.0	0.732
19	1	320	20	6	111.5	7.711	0.897	18	190.0	0.732
19	1	0	110	6	111.5	7.711	0.897	18	190.0	0.732
19	1	220	50	6	111.5	7.711	0.897	18	190.0	0.732
19	1	340	40	6	111.5	7.711	0.897	18	190.0	0.732
19	1	370	30	6	111.5	7.711	0.897	18	190.0	0.732
19	1	0	5	6	111.5	7.711	0.897	18	190.0	0.732
19	1	0	0	6	111.5	7.711	0.897	18	190.0	0.732
19	1	16	60	6	111.5	7.711	0.897	18	190.0	0.732
19	1	2	11	6	111.5	7.711	0.897	18	190.0	0.732
19	1	60	45	6	111.5	7.711	0.897	18	190.0	0.732
19	1	195	19	6	111.5	7.711	0.897	18	190.0	0.732
20	1	0	100	2	81.0	6.441	0.892	16	128.0	0.545
20	1	0	75	2	81.0	6.441	0.892	16	128.0	0.545
20	1	130	90	2	81.0	6.441	0.892	16	128.0	0.545
20	1	0	110	2	81.0	6.441	0.892	16	128.0	0.545
20	1	0	40	2	81.0	6.441	0.892	16	128.0	0.545
20	1	0	15	2	81.0	6.441	0.892	16	128.0	0.545
21	1	168	80	3	60.0	6.619	0.811	19	123.0	0.692
21	1	153	125	3	60.0	6.619	0.811	19	123.0	0.692
21	1	0	200	3	60.0	6.619	0.811	19	123.0	0.692
21	1	115	70	3	60.0	6.619	0.811	19	123.0	0.692
21	1	0	65	3	60.0	6.619	0.811	19	123.0	0.692
21	1	75	70	3	60.0	6.619	0.811	19	123.0	0.692
21	1	0	130	3	60.0	6.619	0.811	19	123.0	0.692
21	1	162	35	3	60.0	6.619	0.811	19	123.0	0.692
21	1	110	40	3	60.0	6.619	0.811	19	123.0	0.692
22	1	10	85	4	87.5	3.720	0.872	19	127.0	0.742
22	1	0	120	4	87.5	3.720	0.872	19	127.0	0.742
22	1	120	130	4	87.5	3.720	0.872	19	127.0	0.742
22	1	0	0	4	87.5	3.720	0.872	19	127.0	0.742
22	1	80	11	4	87.5	3.720	0.872	19	127.0	0.742
22	1	0	100	4	87.5	3.720	0.872	19	127.0	0.742
22	1	0	130	4	87.5	3.720	0.872	19	127.0	0.742
22	1	0	115	4	87.5	3.720	0.872	19	127.0	0.742
22	1	1	42	4	87.5	3.720	0.872	19	127.0	0.742
22	1	231	2	4	87.5	3.720	0.872	19	127.0	0.742
22	1	12	0	4	87.5	3.720	0.872	19	127.0	0.742
22	1	0	145	4	87.5	3.720	0.872	19	127.0	0.742
22	1	310	55	4	87.5	3.720	0.872	19	127.0	0.742
22	1	14	90	4	87.5	3.720	0.872	19	127.0	0.742
22	1	140	94	4	87.5	3.720	0.872	19	127.0	0.742
22	1	0	100	4	87.5	3.720	0.872	19	127.0	0.742
22	1	69	160	4	87.5	3.720	0.872	19	127.0	0.742
22	1	305	30	4	87.5	3.720	0.872	19	127.0	0.742
22	1	0	0	4	87.5	3.720	0.872	19	127.0	0.742
22	1	200	35	4	87.5	3.720	0.872	19	127.0	0.742
22	1	310	6	4	87.5	3.720	0.872	19	127.0	0.742
23	1	145	110	4	149.0	5.393	0.818	17	115.0	0.500
23	1	0	140	4	149.0	5.393	0.818	17	115.0	0.500
23	1	220	135	4	149.0	5.393	0.818	17	115.0	0.500
23	1	41	65	4	149.0	5.393	0.818	17	115.0	0.500
23	1	350	300	4	149.0	5.393	0.818	17	115.0	0.500
23	1	44	150	4	149.0	5.393	0.818	17	115.0	0.500
23	1	275	202	4	149.0	5.393	0.818	17	115.0	0.500
